source_url,destination_path,status_code,category,topic_or_cohort,clicks,impressions,position,backlinks,priority,confidence,manual_review
https://www.celebios.online/nutricionfauna,/cursos/nutricion-fauna-cautiverio,301,curso_historico,nutricion,,,,,media,alta,false
https://www.celebios.online/lenguaje-y-comunicacion-de-los-gatos,/curso-lenguaje-felino,301,curso_disponible,gatos,,,,,alta,alta,false
https://www.celebios.online/nutricion2025,/cursos/nutricion-fauna-cautiverio,301,curso_historico,nutricion,,,,,media,alta,false
https://www.celebios.online/nutricion2024,/cursos/nutricion-fauna-cautiverio,301,curso_historico,nutricion,,,,,media,alta,false
https://www.celebios.online/diplomado-rescate-rehabilitacion-fauna,/diplomado-rescate-rehabilitacion-fauna,301,curso_historico,rehabilitacion,,,,,media,alta,false
https://www.celebios.online/cursos,/cursos,301,curso_historico,catalogo,,,,,media,alta,false
https://www.celebios.online/home,/,301,home,home,,,,,alta,alta,false
https://www.celebios.online/nosotros,/nosotros,301,institucional,nosotros,,,,,media,alta,false
https://www.celebios.online/curso-lenguaje-felino,/curso-lenguaje-felino,301,curso_disponible,gatos,,,,,alta,alta,false
https://www.celebios.online/curso-anestesia,/cursos/anestesia-contencion-fauna,301,curso_historico,anestesia,,,,,media,alta,false
https://www.celebios.online/,/,301,home,home,,,,,alta,alta,false
https://www.celebios.online/about,/nosotros,301,institucional,nosotros,,,,,media,alta,false
https://www.celebios.online/contact,/nosotros,301,institucional,contacto,,,,,media,alta,false
https://www.celebios.online/test,,404,sin_equivalente,,,,,,baja,alta,false
https://www.celebios.online/store,/cursos,301,curso_historico,catalogo,,,,,media,alta,false
